Container_ID,Tenant_ID,Requested_CPU_Cores,Requested_Memory_MB,Requested_Storage_GB,Requested_Bandwidth_Mbps,Execution_Start_Time_ms,Execution_Finish_Time_ms,Makespan_ms,Server_ID,Available_CPU_Cores,Available_Memory_GB,Available_Storage_TB,Available_Bandwidth_Mbps,Power_Consumption_Watts,Inter_Container_Communication_Latency_ms,Routing_Path_Efficiency,Bandwidth_Allocation_Mbps,Active_Switches,Energy_Efficiency_Score,Execution_Cost_$,Resource_Utilization_%,SLA_Violation_Rate_%,Power_Consumption_Switches_Watts,Total_Data_Transferred_MB,Optimal_Scheduling
12,24,13,6730,410,4903,981866,5522812,4540946,173,15,208,10.27,15939,685.57,410,0.95,242,9,0.81,12.13,82.98,31.18,101.26,449,0
13,36,4,26491,358,3356,1541044,8416278,6875234,157,50,352,35.38,38602,301.17,224,0.96,1318,12,0.71,74.84,82.63,11.93,250.26,1051,1
14,40,5,17636,647,2873,3992635,5481881,1489246,101,32,480,45.07,16645,598.31,64,0.9,4986,1,0.98,481.73,42.63,26.51,441.94,34117,0
15,24,10,9007,941,4620,853369,5095839,4242470,32,22,143,10.1,16527,963.61,461,0.86,2572,19,0.94,381.94,80.8,22.05,452.65,35712,0
16,3,5,1597,98,515,153685,7051644,6897959,123,52,25,2.69,28682,560.27,448,0.78,553,2,0.19,392.81,87.7,38.01,426.61,35085,0
17,22,1,31801,241,4260,1165121,5485943,4320822,94,44,334,19.68,22082,348.29,245,0.13,1349,12,0.53,459.69,22.26,13.44,113.18,5421,0
18,2,6,13585,557,2016,570856,8752541,8181685,124,52,109,21.1,27199,343.13,115,0.33,107,10,0.21,224.3,41.48,6.29,262.53,45249,0
19,24,13,11883,711,4216,375491,5451111,5075620,123,10,505,32.65,34493,839.69,127,0.75,439,18,0.89,361.46,74.98,30.42,466.62,43401,0
20,44,9,18106,993,2865,757994,9569424,8811430,82,52,317,5.19,23503,514.05,330,0.87,3417,8,0.04,107.27,48.65,41.91,13.24,9902,0
21,30,2,11738,803,3974,2595469,9865976,7270507,108,18,240,41.25,23847,300.11,129,0.23,2033,6,0.7,330.47,99.75,45.88,451.56,41901,0
22,38,7,25316,948,1684,711974,9292343,8580369,67,16,273,29.13,18423,649.34,298,0.62,2649,10,0.68,128.65,35.99,46.24,96.16,43901,0
23,2,6,20015,114,1200,3263621,8459537,5195916,12,11,385,27.75,5547,871.52,139,0.06,1391,11,0.22,400.26,48.31,1.67,275.63,16425,0
24,21,5,10558,487,2402,118703,7257624,7138921,186,56,419,16.5,14549,741.09,325,0.86,1181,14,0.92,430.92,18.93,9.39,109.87,47107,0
25,33,4,17163,789,1931,2028370,6416067,4387697,20,22,239,18.9,922,132.03,385,0.35,1082,19,0.59,317.13,79.47,37.49,438.99,49672,0
26,12,4,19670,241,4399,731263,9223925,8492662,50,34,274,3.72,23815,374.58,193,0.2,4259,8,0.91,345.83,83.77,35.2,382.29,9984,0
27,22,6,11553,156,2702,1653340,8067119,6413779,136,38,51,37.93,568,822.08,83,0.84,1289,3,0.47,225.41,98.1,29.08,210.67,11815,0
28,44,4,4861,352,4443,4199999,6662097,2462098,159,57,276,30.63,2362,447.34,434,0.17,3257,2,0.81,37.64,81.19,18.41,105.17,47751,0
29,25,5,32188,44,1837,878443,9597257,8718814,152,23,291,48.84,39080,998.7,325,0.46,3727,19,0.81,272.89,36.19,15.3,228.92,37253,0
30,49,13,5477,592,2509,1885848,7110126,5224278,126,63,274,18.32,24996,374.84,204,0.1,4086,5,0.66,375.28,76.49,4.52,58.75,12245,1
31,27,6,27222,312,726,701230,7528494,6827264,141,39,274,33.65,7864,912.12,348,0.44,2500,10,0.43,75.69,50.06,29.32,304.0,8641,0
32,42,5,14004,138,640,1897639,8103135,6205496,42,41,371,46.06,17423,486.47,444,0.92,1801,1,0.9,443.63,98.25,10.64,175.43,5558,1
33,28,7,13848,663,4870,3766431,9222916,5456485,78,13,341,35.87,2446,939.2,421,0.69,3626,16,0.83,208.48,80.87,44.48,18.39,48623,0
34,16,9,25021,944,94,2358883,7606146,5247263,79,51,502,2.98,3245,450.24,151,0.98,4567,15,0.23,142.77,43.57,11.2,216.18,15566,0
35,15,10,20355,436,3778,1644307,6353296,4708989,26,12,243,31.98,13861,495.03,5,0.45,2301,6,0.43,362.07,81.41,38.43,357.01,6072,0
36,47,7,27357,754,746,2176020,6568844,4392824,166,31,103,27.72,39288,563.76,343,0.89,1033,12,0.14,3.6,43.5,17.42,325.14,19003,0
37,44,7,17885,143,2717,2598319,8560130,5961811,110,56,399,25.47,24816,87.8,216,0.91,3211,9,0.03,401.63,67.44,40.95,59.53,4593,0
38,3,4,13196,823,236,3105103,7779203,4674100,38,26,318,28.1,9817,129.85,337,0.09,2390,18,0.08,49.49,19.56,36.94,478.06,36077,0
39,37,1,17833,299,3367,4510069,8474999,3964930,183,37,117,23.57,16476,861.85,132,0.98,4277,6,0.1,18.86,50.07,1.16,342.35,32523,0
40,7,14,7166,562,1317,1134608,8544845,7410237,97,19,308,34.9,17535,301.89,401,0.89,4892,12,0.35,498.28,16.75,32.49,302.49,45716,0
41,21,8,31792,262,4214,789366,7727823,6938457,138,12,23,1.73,20737,645.9,123,0.63,2667,18,0.93,27.77,56.41,28.05,356.6,17777,0
42,9,4,23885,512,4240,2718878,9301387,6582509,11,35,117,10.24,11445,297.0,158,0.54,2450,2,0.59,314.38,61.79,41.1,281.96,25894,0
43,39,1,25527,673,4396,1335512,5211724,3876212,131,63,128,18.9,5325,384.48,236,0.39,1448,16,0.88,459.16,77.23,11.66,208.06,34121,1
44,18,5,7854,62,3968,362884,6984029,6621145,123,46,223,23.18,17853,624.1,54,0.59,141,15,0.05,345.11,42.28,36.49,248.4,17099,0
45,4,14,22919,567,1662,352230,9312601,8960371,23,41,378,7.39,5393,371.7,372,0.74,760,11,0.63,98.66,80.34,44.32,231.79,11311,0
46,25,14,2870,423,1877,4241092,9098929,4857837,62,19,400,41.19,26940,739.52,89,0.71,4442,2,0.52,103.35,64.35,39.14,358.85,32676,0
47,14,8,27095,396,36,2097179,9327180,7230001,198,30,477,46.54,6780,540.72,337,0.3,3470,1,0.16,269.68,61.14,46.06,384.6,38677,0
48,9,4,20241,884,4659,2568635,9272451,6703816,41,12,60,37.81,27036,768.91,334,0.67,1526,5,0.22,30.98,29.72,15.33,163.06,45931,0
49,26,13,29218,996,942,3517599,9652064,6134465,121,61,473,46.51,6903,253.24,23,0.0,2480,7,0.15,277.62,94.06,21.03,394.69,18415,0
50,2,12,6872,31,3468,3966992,7931461,3964469,169,47,25,37.42,15453,662.72,280,0.17,874,5,0.24,224.37,25.95,19.61,271.22,32035,0
51,20,8,21712,330,476,3403333,6302020,2898687,93,44,357,22.61,15209,347.68,273,0.15,2789,3,0.0,195.39,16.18,16.93,59.46,9734,0
52,28,8,4255,949,2710,4922115,5315535,393420,4,23,247,20.26,23316,385.48,443,0.74,2326,2,0.31,234.56,83.78,7.54,237.63,39399,1
53,47,3,7671,802,1508,1518314,5013229,3494915,131,16,248,9.15,21557,227.27,52,0.9,2981,19,0.98,239.49,42.02,0.86,327.26,4478,0
54,7,9,32663,169,627,2191731,6721212,4529481,51,40,494,5.24,12279,172.1,46,0.09,1942,3,0.63,263.13,84.16,13.15,336.76,43030,1
55,44,3,1030,266,3787,1385556,9550114,8164558,183,44,467,11.76,5066,887.3,209,0.91,4982,7,0.54,368.89,93.87,49.65,33.55,44854,0
56,8,1,17164,308,4563,4792030,6469914,1677884,107,40,442,27.07,1517,948.96,118,0.31,1346,3,0.55,322.08,46.11,14.7,187.1,23797,0
57,47,2,13437,459,2697,544015,5112203,4568188,191,56,358,7.61,24964,423.88,334,0.62,1516,14,0.6,124.2,22.58,40.19,154.49,17110,0
58,35,15,15322,185,1514,175759,7790193,7614434,177,8,184,47.61,20182,775.35,187,0.16,2417,15,0.74,323.85,19.2,7.46,240.49,20930,0
59,14,6,16751,334,3977,1197637,5941224,4743587,72,54,283,11.71,37914,813.33,79,0.4,4385,3,0.8,4.05,26.26,27.89,438.12,44633,0
60,17,12,22340,515,189,3927810,7563254,3635444,70,44,252,41.85,36854,184.76,19,0.46,4114,1,0.03,244.81,34.66,5.81,460.26,42790,0
61,36,10,5987,441,2595,1429928,7729072,6299144,69,16,279,41.12,15506,942.13,127,0.37,16,1,0.19,39.37,67.28,33.28,396.4,33744,0
62,40,2,4697,673,2079,3856106,6819923,2963817,8,25,395,7.92,19220,817.8,325,0.82,3182,9,0.17,402.62,79.05,5.57,481.35,30967,1
63,4,6,5673,391,4868,382309,5002523,4620214,123,45,316,35.83,38950,800.14,273,0.58,899,5,0.38,56.32,50.81,14.72,229.88,26511,0
64,2,14,10092,772,931,3713944,5099964,1386020,136,28,103,41.38,24705,928.27,353,0.5,4895,2,0.27,452.94,87.67,6.58,56.96,32129,1
65,6,1,10398,935,3102,1281627,9595150,8313523,147,51,400,44.33,13898,385.24,103,0.78,2641,12,0.82,227.19,82.52,17.85,417.48,42373,0
66,42,11,11977,560,4850,455953,5270473,4814520,112,21,169,47.75,33078,892.35,134,0.71,2061,14,0.41,88.91,10.71,15.76,437.72,37283,0
67,4,13,26477,254,1520,4694132,7633192,2939060,183,46,357,46.58,10654,998.1,281,0.1,2227,5,0.84,277.09,61.42,13.58,204.3,23746,0
68,29,1,20761,586,3609,3743329,8786457,5043128,72,46,122,16.25,27481,269.78,175,0.52,1982,11,0.71,324.0,46.6,7.43,263.1,49041,0
69,18,5,11733,335,3286,3305478,5863016,2557538,8,58,232,14.12,34383,165.36,245,0.8,2871,18,0.44,331.18,52.91,26.01,134.98,10475,0
70,26,10,24907,400,2729,4500680,5564391,1063711,185,13,174,20.48,22914,153.36,401,0.64,625,4,0.96,412.54,64.81,10.07,147.62,4709,0
71,44,13,2847,166,4742,3404855,7808591,4403736,72,10,327,23.79,4472,408.61,289,0.71,2626,16,0.79,297.8,62.55,41.76,490.01,41213,0
72,34,11,4186,260,1033,2651257,9520727,6869470,7,55,369,12.46,30068,818.33,139,0.57,2655,3,0.7,103.26,90.53,32.86,147.06,618,0
73,10,9,5088,4,161,4367672,6521399,2153727,46,55,52,5.22,7265,763.29,161,0.93,4435,18,0.78,220.45,42.02,42.79,486.07,3321,0
74,36,14,15484,888,22,1821575,5837435,4015860,150,25,474,33.17,11288,237.46,28,0.51,2145,19,0.42,397.4,64.14,43.03,146.41,1627,0
75,14,8,1012,119,724,816392,8152248,7335856,81,44,403,9.54,37398,557.99,106,0.56,4344,16,0.11,218.24,94.94,16.72,417.72,9603,0
76,31,3,26749,996,3160,4818891,8740843,3921952,172,27,87,45.83,16891,393.46,41,0.88,2417,7,0.41,48.2,42.32,3.72,90.51,2076,0
77,48,15,27187,923,3635,3761441,5691455,1930014,5,36,136,15.1,18760,840.24,315,0.61,519,9,0.52,422.8,54.85,12.71,419.28,48905,0
78,15,3,8595,470,258,1626754,7748374,6121620,153,43,187,10.69,16395,813.96,247,0.44,2800,2,0.11,485.71,16.42,22.03,456.16,26309,0
79,8,15,8806,470,1154,2587673,8217388,5629715,175,23,242,10.51,7500,819.63,133,0.25,822,11,0.37,426.77,91.87,47.1,448.25,36421,0
80,14,1,16232,785,4492,196190,6258615,6062425,171,11,232,15.18,6853,549.0,85,0.97,1421,14,0.93,3.52,82.38,22.65,44.56,23269,0
81,23,14,6055,493,4544,4144693,5570151,1425458,143,63,110,31.0,34578,817.09,286,0.77,2011,3,0.13,498.53,15.04,47.35,393.38,13068,0
82,40,3,19642,738,3353,4639648,8391284,3751636,192,52,192,48.94,14707,746.69,174,0.08,3888,7,0.63,227.0,74.06,38.67,436.78,34773,0
83,21,15,3788,864,730,4962692,5218316,255624,159,21,102,24.83,925,548.52,90,0.13,1866,6,0.84,170.65,91.63,23.53,177.3,8213,0
84,16,14,19981,500,4578,125437,8635544,8510107,83,24,439,30.38,11412,784.12,56,0.21,25,1,0.73,78.25,79.06,43.38,446.76,18006,0
85,45,12,31147,70,3239,104589,5833427,5728838,44,42,117,42.29,38413,408.02,259,0.24,3639,14,0.19,322.94,61.89,45.19,335.2,6202,0
86,18,12,22631,694,1016,4630117,6305499,1675382,175,42,339,17.37,25071,790.82,113,0.65,2819,10,0.41,171.8,92.44,21.75,240.81,11259,0
87,47,12,24692,865,4738,1384584,8370680,6986096,140,56,371,9.81,36620,642.2,469,0.53,192,5,0.56,445.11,74.68,40.68,13.36,43805,0
88,24,13,7125,776,3308,3177301,5264578,2087277,64,52,470,22.25,26271,868.78,12,0.24,685,13,0.13,226.08,19.27,43.34,346.21,44764,0
89,26,11,12241,370,2478,4113155,8906212,4793057,23,39,142,16.62,16251,897.72,135,0.15,2664,15,0.26,145.59,30.08,21.52,400.93,28542,0
90,25,1,1839,181,4129,950277,5676837,4726560,50,60,409,43.44,30085,419.3,282,0.69,184,1,0.66,51.63,23.68,23.64,481.42,42237,0
91,45,8,8284,996,3823,909524,9117905,8208381,125,59,85,48.92,10784,323.46,172,0.05,2873,11,0.83,290.1,37.96,13.33,312.3,1029,0
92,41,1,11178,5,547,1816313,6045075,4228762,36,17,238,34.73,29694,316.08,56,0.22,1823,13,0.94,337.88,33.41,22.59,81.0,38961,0
93,29,5,26767,197,2834,4795111,9646660,4851549,139,36,275,33.03,14665,359.81,439,0.3,3109,9,0.21,10.53,33.88,24.44,148.07,40789,0
94,15,9,31341,47,2695,3825418,9398714,5573296,86,63,292,36.0,25784,98.17,231,0.18,3757,11,0.54,446.25,40.89,32.19,280.63,27305,0
95,45,7,20642,970,1990,320961,8289672,7968711,175,19,313,23.92,19796,934.67,13,0.57,631,12,0.64,3.62,12.03,29.58,141.87,24048,0
96,1,4,22580,552,549,3872311,8221980,4349669,56,16,99,31.81,5838,167.78,462,0.72,683,9,0.72,251.98,34.85,44.76,274.47,48405,0
97,25,11,16801,634,3894,2823975,7804048,4980073,69,33,480,4.49,33097,884.06,409,0.41,2504,13,0.65,124.12,25.4,32.42,131.61,45263,0
98,7,9,19458,647,4063,4564760,9615627,5050867,37,28,387,25.18,345,513.19,337,0.17,3146,5,0.78,482.34,15.28,6.88,409.11,14721,0
99,9,9,21059,140,3209,601213,6452344,5851131,138,8,149,17.29,8392,905.33,272,0.4,1753,5,0.4,233.08,48.51,11.94,40.4,18283,0
100,24,2,20213,862,4526,1757631,7007648,5250017,184,43,270,3.61,2956,935.96,220,0.47,1508,10,0.52,451.59,81.6,45.81,180.82,49172,0
101,1,10,19332,665,493,4356567,7545443,3188876,42,26,26,27.69,7887,830.15,104,0.88,4776,5,0.16,470.57,54.59,3.06,42.63,16098,0
102,44,10,6281,540,1038,264957,8020124,7755167,158,13,225,18.65,20653,436.62,425,0.53,4537,11,0.03,195.75,73.33,34.89,142.82,4922,0
103,8,11,25395,427,61,556710,5603901,5047191,94,54,390,29.94,17610,441.84,82,0.06,4838,17,0.17,323.27,20.46,4.18,65.77,34665,0
104,24,12,29084,589,252,1454671,7386513,5931842,22,25,88,26.15,9407,968.11,132,0.98,1872,7,0.71,257.83,49.86,11.04,235.43,16004,0
105,11,6,14175,687,1696,3941717,8448336,4506619,183,44,155,14.53,25936,369.92,40,0.19,4785,5,0.28,153.98,28.89,40.32,49.35,33927,0
106,17,4,6430,561,2831,3149662,6233623,3083961,166,15,302,27.46,22209,440.61,248,0.53,3213,3,0.75,295.01,19.71,17.95,319.08,34928,0
107,8,8,17985,854,1850,2039912,7569749,5529837,56,18,174,19.56,25207,326.31,51,0.34,3927,7,0.03,241.27,30.98,23.99,346.67,6111,0
108,35,12,5067,310,434,561185,7748651,7187466,199,12,186,46.13,29634,538.04,465,0.7,2946,5,0.32,224.79,80.97,39.15,387.19,1516,0
109,35,11,2906,274,2137,4579841,9905856,5326015,114,28,201,19.41,15319,629.91,183,0.19,842,4,0.05,169.16,61.73,29.11,372.68,9228,0
110,33,7,23364,539,704,238238,8465426,8227188,122,47,65,2.97,33725,679.89,161,0.51,4730,9,0.76,3.45,30.62,13.8,227.01,45225,0
111,5,7,20900,840,363,3872693,8787588,4914895,164,50,262,38.42,15209,200.56,126,0.51,139,5,0.41,451.07,30.29,47.53,377.19,5910,0
112,42,11,1178,390,3700,3050591,8083006,5032415,78,28,369,48.22,23812,379.26,295,0.65,3035,12,0.18,130.5,31.78,21.99,348.89,40292,0
113,39,10,22614,459,1699,1485274,9630469,8145195,139,27,223,9.3,5351,996.17,152,0.58,1932,6,0.57,88.81,81.22,5.77,333.0,12211,1
114,41,9,22048,733,302,4586064,7042174,2456110,135,49,56,48.67,3718,118.0,339,0.13,2782,11,0.97,7.42,66.89,3.27,189.78,38070,0
115,28,13,12867,634,726,3394612,5734549,2339937,96,16,127,31.24,2240,403.61,319,0.69,86,6,0.05,226.16,33.24,40.77,380.33,46640,0
116,7,5,2746,361,4634,749611,6944954,6195343,82,9,219,42.52,13317,251.22,234,0.46,3832,18,0.61,316.27,44.21,25.15,217.87,34608,0
117,9,6,6847,69,4585,1202602,9351608,8149006,34,56,384,24.17,18843,317.59,252,0.19,3492,11,0.69,128.35,41.42,26.44,210.66,19897,0
118,8,1,18132,583,4582,770389,9115448,8345059,63,11,476,31.5,5870,493.87,316,0.4,3203,19,0.84,81.0,35.77,14.57,182.35,30112,0
119,12,6,18519,662,4130,3577714,9418230,5840516,2,33,435,42.21,27017,987.25,366,0.37,460,8,0.33,256.06,79.82,41.34,289.33,19030,0
120,34,2,31659,699,2488,375321,7794106,7418785,190,19,220,49.16,2880,821.77,128,0.44,1287,9,0.65,499.49,49.15,42.19,21.48,10462,0
121,33,6,18270,431,2374,2616969,9284623,6667654,135,26,187,10.06,21177,278.67,354,0.89,3586,6,0.08,387.71,32.71,27.16,270.61,47595,0
122,48,9,24171,885,647,3776704,8295417,4518713,43,26,142,45.04,12829,180.57,478,0.87,3758,17,0.11,247.61,65.21,40.3,263.19,7346,0
123,23,8,12015,758,2415,2869902,5943056,3073154,95,26,81,33.7,19161,625.89,52,0.02,3977,12,0.72,147.97,63.12,38.74,172.8,4242,0
124,24,9,6871,708,1309,3074540,5813072,2738532,18,36,384,47.4,22277,882.51,49,0.51,4358,13,0.46,84.43,64.2,12.89,167.85,44425,0
125,37,13,17072,32,3958,4856471,6459489,1603018,148,46,286,16.59,21201,240.25,479,0.07,2671,2,0.5,221.08,61.37,44.89,242.14,44110,0
126,35,15,14388,979,699,3192877,5221161,2028284,7,52,476,12.89,39854,235.42,66,0.04,3897,19,0.87,230.15,93.18,10.15,317.02,37140,1
127,44,10,26441,621,4449,4969335,9468989,4499654,52,41,49,18.91,31483,699.9,297,0.21,971,18,0.15,72.61,48.12,31.07,73.25,14328,0
128,40,8,23600,865,2616,2847823,5430690,2582867,37,15,489,44.34,562,332.34,143,0.97,743,5,0.19,488.62,90.56,46.41,78.91,15823,0
129,22,3,3440,513,721,3582092,8512765,4930673,98,13,213,23.52,17826,89.41,57,0.93,1487,6,0.39,172.08,85.89,12.9,455.4,5137,1
130,27,8,25713,182,2620,3126505,9498887,6372382,46,39,484,47.62,33488,337.35,110,0.71,1316,17,0.38,243.4,95.02,26.47,162.99,16059,0
131,35,6,8129,686,448,2317435,7630802,5313367,103,35,59,12.87,34378,250.14,305,0.31,3158,16,0.56,84.82,70.26,37.03,139.4,18611,0
132,1,13,27742,681,3543,1835107,7690161,5855054,42,18,268,11.81,36874,361.26,187,0.21,1341,7,0.44,188.04,81.67,41.86,217.08,49716,0
133,35,6,8126,248,3888,4918381,5638333,719952,60,35,176,34.24,27975,823.75,458,0.17,2755,8,0.29,65.5,12.28,4.72,393.64,33871,0
134,37,6,28696,620,3351,1868703,5550263,3681560,128,39,350,15.29,11155,689.65,262,0.02,4196,4,0.85,409.8,85.82,0.57,364.31,13486,1
135,47,3,20611,882,3102,1809157,7612182,5803025,104,48,370,7.33,8026,315.75,481,0.44,839,9,0.15,184.27,40.58,46.81,395.51,23167,0
136,14,10,4786,297,4248,1796302,6896953,5100651,80,15,363,19.42,22226,438.22,192,0.61,3481,16,0.01,6.75,89.96,26.13,390.31,14167,0
137,3,1,25482,776,1793,1725764,9772188,8046424,78,27,377,14.04,17258,253.22,407,0.59,4537,19,0.14,347.79,45.61,35.25,382.61,14901,0
138,1,12,26256,928,877,2934175,8162310,5228135,124,31,405,21.24,1341,575.94,426,0.7,4688,14,0.48,178.02,74.42,15.44,338.97,43273,0
139,5,14,5483,30,1498,3678138,7098299,3420161,32,59,500,10.14,26998,264.94,69,0.51,588,17,0.59,197.65,97.41,14.78,140.84,29750,1
140,26,4,30145,302,477,4506007,9379804,4873797,166,34,133,47.89,1035,930.9,168,0.53,2200,18,0.16,170.69,75.84,31.62,184.36,7290,0
141,14,10,8901,476,4982,252779,6146141,5893362,167,54,311,40.28,30840,306.3,287,0.96,1498,14,0.57,181.87,48.89,10.29,377.09,4101,0
142,39,12,17864,873,3931,747253,9788834,9041581,26,60,277,42.2,9629,726.42,398,0.56,2374,2,0.04,159.49,64.12,35.66,283.48,18514,0
143,27,6,28996,948,1427,2358844,7979694,5620850,30,18,90,15.59,20013,424.26,198,0.87,3787,2,0.62,388.14,35.56,10.65,39.77,33812,0
144,9,11,20051,352,1786,1875779,6075434,4199655,169,54,29,42.98,4999,898.9,97,0.12,3191,8,0.53,304.59,80.96,1.08,468.63,49746,1
145,15,12,21660,985,1091,2849292,7323216,4473924,103,30,484,29.95,12195,349.67,45,0.83,3278,2,0.42,106.83,58.56,44.31,385.27,45534,0
146,15,10,32340,482,4946,4199128,6801033,2601905,137,29,394,3.78,22654,65.12,96,0.69,4589,1,0.92,372.22,26.58,33.4,415.24,48469,0
147,26,2,3016,317,2935,661357,8084160,7422803,32,12,483,8.51,23275,150.8,12,0.01,2357,10,0.44,138.21,59.4,38.98,492.61,23472,0
148,42,7,24539,737,4094,1613355,9664337,8050982,184,55,20,22.85,38845,114.47,167,0.21,2184,16,0.37,99.69,57.41,30.76,315.03,11940,0
149,13,7,26364,397,4071,4747059,8445694,3698635,53,41,316,20.3,30180,344.51,493,0.22,1698,12,0.22,225.89,23.28,37.06,278.09,35673,0
150,32,11,6518,89,1021,3490764,9614524,6123760,135,38,202,39.97,19170,688.79,150,0.4,2292,19,0.31,373.36,23.85,8.44,233.37,46243,0
151,39,4,29255,234,823,2590301,8183359,5593058,151,54,216,43.81,16556,540.32,334,0.39,4893,5,0.22,258.71,59.18,2.15,304.59,24315,0
152,49,4,29406,168,3956,2307701,9864095,7556394,81,44,493,43.38,37162,286.56,291,0.35,3198,13,0.18,213.12,88.21,41.9,347.48,39594,0
153,32,15,31507,743,2326,1655476,9042549,7387073,180,54,505,19.39,31295,998.83,216,0.43,4322,19,0.42,274.6,68.73,35.34,81.8,16317,0
154,4,1,24858,126,2153,3066450,9293677,6227227,149,33,314,32.15,2528,112.41,99,0.83,2635,3,0.06,456.33,80.75,31.9,292.55,14944,0
155,30,13,8455,573,282,2446120,6945378,4499258,76,30,501,25.36,39448,642.05,463,0.05,4755,18,0.63,374.73,63.66,17.07,298.13,17562,0
156,37,2,18165,120,3654,1207913,7578768,6370855,151,50,452,44.56,39155,811.55,269,0.85,827,14,0.47,272.07,20.05,45.39,137.1,48495,0
157,23,9,18260,428,1726,2722985,8398305,5675320,69,45,266,44.56,37677,960.11,168,0.92,1871,5,0.2,262.93,28.31,7.15,48.56,16401,0
158,39,10,23612,190,2985,3422412,8348764,4926352,18,45,170,3.64,18705,386.7,494,0.17,404,15,0.01,44.31,83.92,36.68,60.56,41873,0
159,45,8,1435,633,4110,4084819,7171648,3086829,37,39,391,29.03,20480,591.67,21,0.37,2938,5,0.57,18.94,39.13,24.5,267.04,10514,0
160,15,8,17366,428,366,1573272,6879691,5306419,135,12,212,25.67,34326,289.09,442,0.65,4772,17,0.07,448.0,80.18,48.72,16.13,29194,0
161,43,9,23493,560,213,1967805,8365366,6397561,61,32,84,38.75,20278,81.96,451,0.98,2093,7,0.98,453.09,48.03,23.48,111.3,27074,0
162,29,15,28104,202,3755,339039,8119695,7780656,131,40,63,10.59,20056,541.81,200,0.87,3876,11,0.49,301.36,53.5,10.39,475.8,24060,0
163,36,7,10758,59,1606,1570128,7673535,6103407,1,59,264,35.05,16130,611.13,142,0.74,4360,11,0.54,485.25,37.05,28.99,380.42,13000,0
164,13,13,12987,697,506,2036991,7145546,5108555,60,14,247,37.19,34433,311.49,242,0.94,2369,18,0.89,300.73,38.23,40.81,389.75,11813,0
165,32,9,27139,223,4807,835660,7319923,6484263,134,23,478,2.31,3461,270.71,191,0.98,3279,15,0.95,414.42,24.43,33.95,30.33,14539,0
166,7,10,30852,492,4942,2255024,6014781,3759757,124,56,126,22.13,1855,316.9,236,0.9,4144,3,0.93,50.56,64.25,7.07,95.79,13565,0
167,22,12,19850,11,72,3726011,8104851,4378840,71,36,344,48.97,10614,548.11,235,0.19,913,13,0.44,455.0,62.66,0.09,243.04,30273,0
168,28,2,18044,793,1589,3311389,8625369,5313980,91,22,382,15.73,30207,696.45,394,0.71,575,7,0.22,236.61,52.89,2.77,438.21,21634,0
169,2,6,3598,701,4344,4978096,7644295,2666199,186,27,296,44.34,24164,734.63,97,0.4,3764,14,0.89,465.54,88.82,24.62,253.1,38592,0
170,42,15,26047,512,549,3121298,7078657,3957359,31,29,151,29.76,29842,313.23,72,0.82,149,5,0.26,313.26,11.19,4.49,237.75,10105,0
171,45,3,15372,814,4303,4739930,5894567,1154637,8,17,93,15.53,122,863.45,184,0.06,561,17,0.32,223.98,44.39,0.39,24.34,7007,0
